FID,OBJECTID,BARRIO,COD_BARRIO,DISTRITO,H0A4,H5A9,H10A14,H15A19,H20A24,H25A29,H30A34,H35A39,H40A44,H45A49,H50A54,H55A59,H60A64,H65A69,H70A74,H75A79,H80A84,H85A89,H90A94,H95A99,HMAS100,HOMBRES,M0A4,M5A9,M10A14,M15A19,M20A24,M25A29,M30A34,M35A39,M40A44,M45A49,M50A54,M55A59,M60A64,M65A69,M70A74,M75A79,M80A84,M85A89,M90A94,M95A99,MMAS100,MUJERES,AREA,TOTAL,UTM_X,UTM_Y,GRAD_X,GRAD_Y
20.0,21.0,LA ALEGRIA,4,ANAGA,30.0,30.0,29.0,21.0,41.0,49.0,57.0,60.0,63.0,66.0,47.0,47.0,39.0,33.0,29.0,14.0,16.0,11.0,5.0,1.0,0.0,688.0,23.0,28.0,25.0,21.0,34.0,31.0,57.0,46.0,48.0,44.0,43.0,70.0,36.0,34.0,43.0,29.0,29.0,19.0,9.0,4.0,3.0,676.0,536005.907933,1364.0,378274.125345,3151498.28789,-16.2435788541,28.4844404103
21.0,22.0,VALLE TAHODIO,73,ANAGA,1.0,1.0,3.0,3.0,2.0,6.0,4.0,2.0,4.0,2.0,5.0,5.0,5.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,49.0,2.0,4.0,3.0,1.0,2.0,3.0,3.0,3.0,4.0,3.0,6.0,5.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,44.0,1.11580144571E7,93.0,376095.352951,3154435.96109,-16.2661510213,28.5107468257
22.0,23.0,SAN ANDRES,55,ANAGA,36.0,48.0,56.0,48.0,57.0,83.0,89.0,102.0,145.0,116.0,118.0,110.0,87.0,76.0,73.0,48.0,24.0,18.0,4.0,2.0,1.0,1341.0,52.0,65.0,49.0,51.0,69.0,74.0,100.0,108.0,99.0,110.0,104.0,91.0,71.0,68.0,70.0,62.0,61.0,31.0,11.0,8.0,4.0,1358.0,2.10487352539E7,2699.0,382790.030893,3155971.4431,-16.1979077289,28.5252241884
23.0,24.0,SUCULUM,63,ANAGA,2.0,4.0,10.0,9.0,15.0,13.0,17.0,7.0,19.0,19.0,11.0,20.0,11.0,11.0,10.0,8.0,7.0,4.0,0.0,1.0,0.0,198.0,3.0,0.0,4.0,7.0,6.0,11.0,10.0,11.0,10.0,16.0,18.0,13.0,8.0,10.0,17.0,7.0,7.0,4.0,2.0,0.0,0.0,164.0,62200.769365,362.0,383634.73187,3154511.33681,-16.1891283471,28.5121220274
24.0,25.0,LOMO DE LAS BODEGAS,42,ANAGA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,9.0,1.36520688626E7,14.0,388292.753464,3159047.75949,-16.141977772,28.5534710818
25.0,26.0,CHAMORGA,21,ANAGA,0.0,1.0,0.0,1.0,3.0,4.0,1.0,2.0,1.0,3.0,4.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,26.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,3.0,2.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,23.0,5099268.4235,49.0,387381.00186,3161455.35592,-16.1515329145,28.5751197183
26.0,27.0,ALMACIGA,6,ANAGA,2.0,2.0,4.0,6.0,4.0,6.0,8.0,8.0,14.0,5.0,6.0,12.0,9.0,8.0,7.0,5.0,11.0,4.0,0.0,0.0,0.0,121.0,4.0,2.0,4.0,1.0,6.0,6.0,8.0,6.0,7.0,9.0,6.0,9.0,15.0,7.0,8.0,7.0,4.0,2.0,0.0,0.0,0.0,111.0,7507932.31472,232.0,384816.051031,3161044.9856,-16.1777133585,28.5711913507
27.0,28.0,EL BAILADERO,8,ANAGA,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,119161.996682,12.0,382216.242205,3158700.85427,-16.2040508507,28.5498031016
28.0,29.0,CASAS DE LA CUMBRE,18,ANAGA,1.0,1.0,1.0,3.0,2.0,4.0,10.0,4.0,3.0,6.0,5.0,8.0,5.0,8.0,5.0,1.0,3.0,1.0,0.0,0.0,0.0,71.0,2.0,2.0,1.0,4.0,1.0,5.0,6.0,4.0,6.0,6.0,7.0,4.0,3.0,5.0,6.0,2.0,6.0,3.0,0.0,0.0,0.0,73.0,2694271.22233,144.0,377612.565587,3156479.59427,-16.2508661288,28.5293319815
29.0,30.0,TAGANANA,66,ANAGA,4.0,7.0,10.0,14.0,9.0,13.0,17.0,30.0,22.0,24.0,32.0,18.0,17.0,14.0,13.0,18.0,17.0,3.0,4.0,0.0,0.0,286.0,3.0,7.0,9.0,6.0,10.0,13.0,13.0,17.0,20.0,13.0,11.0,19.0,15.0,12.0,18.0,22.0,15.0,4.0,1.0,0.0,0.0,228.0,1.02125045243E7,514.0,381201.266891,3159613.97104,-16.2145193321,28.5579508284
30.0,31.0,TABORNO,65,ANAGA,2.0,2.0,0.0,2.0,2.0,2.0,6.0,4.0,3.0,5.0,2.0,6.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,48.0,2.0,3.0,0.0,1.0,1.0,2.0,5.0,0.0,3.0,2.0,6.0,1.0,3.0,4.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,39.0,4676378.60119,87.0,376344.762846,3160130.57629,-16.2642148713,28.5621603268
31.0,32.0,AFUR,3,ANAGA,2.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,3.0,8.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,36.0,0.0,1.0,0.0,1.0,1.0,4.0,3.0,2.0,2.0,2.0,4.0,4.0,1.0,2.0,3.0,6.0,1.0,1.0,0.0,1.0,0.0,39.0,5354539.93783,75.0,378303.840474,3159269.1518,-16.2440986156,28.5545712195
32.0,33.0,ROQUE NEGRO,51,ANAGA,1.0,0.0,2.0,3.0,2.0,1.0,1.0,4.0,6.0,6.0,5.0,1.0,3.0,1.0,8.0,2.0,4.0,3.0,0.0,1.0,0.0,54.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,4.0,4.0,4.0,2.0,1.0,4.0,4.0,6.0,6.0,1.0,3.0,0.0,1.0,1.0,48.0,4885157.41301,102.0,377543.525858,3157759.24541,-16.2517080845,28.540873517
33.0,34.0,BARRIO NUEVO,11,CENTRO - IFARA,31.0,31.0,23.0,20.0,46.0,37.0,43.0,53.0,73.0,74.0,66.0,55.0,30.0,31.0,36.0,21.0,15.0,8.0,2.0,1.0,1.0,697.0,20.0,19.0,40.0,37.0,32.0,41.0,48.0,48.0,52.0,56.0,61.0,43.0,28.0,39.0,37.0,20.0,35.0,18.0,12.0,3.0,1.0,690.0,279071.203613,1387.0,375864.820195,3150363.2133,-16.2680655074,28.473969658
34.0,35.0,LA SALUD,54,SALUD - LA SALLE,157.0,248.0,266.0,243.0,312.0,306.0,415.0,422.0,482.0,472.0,438.0,387.0,292.0,233.0,228.0,187.0,181.0,78.0,20.0,4.0,4.0,5375.0,159.0,217.0,221.0,263.0,279.0,343.0,368.0,419.0,480.0,454.0,415.0,354.0,323.0,338.0,317.0,318.0,328.0,179.0,63.0,13.0,5.0,5856.0,687496.359487,11231.0,375270.755379,3150117.13989,-16.2741061392,28.4716922505
35.0,36.0,BUENAVISTA,12,SALUD - LA SALLE,60.0,66.0,66.0,87.0,100.0,118.0,123.0,144.0,145.0,138.0,129.0,143.0,100.0,99.0,71.0,50.0,55.0,22.0,9.0,1.0,3.0,1729.0,54.0,65.0,56.0,69.0,90.0,131.0,122.0,150.0,153.0,140.0,153.0,152.0,137.0,116.0,85.0,92.0,84.0,45.0,12.0,9.0,6.0,1921.0,126561.569306,3650.0,375873.894869,3149542.78329,-16.2678844314,28.4665665549
36.0,37.0,CRUZ DEL SEÑOR,25,SALUD - LA SALLE,49.0,59.0,70.0,84.0,108.0,112.0,127.0,149.0,153.0,130.0,131.0,167.0,104.0,72.0,83.0,43.0,50.0,18.0,9.0,2.0,2.0,1722.0,52.0,55.0,63.0,77.0,121.0,99.0,131.0,135.0,177.0,154.0,190.0,165.0,117.0,122.0,101.0,95.0,80.0,45.0,22.0,4.0,0.0,2005.0,115175.488716,3727.0,375416.104545,3149202.38878,-16.2725227451,28.4634510283
37.0,38.0,CUESTA PIEDRA,27,SALUD - LA SALLE,8.0,17.0,7.0,18.0,24.0,20.0,15.0,22.0,18.0,15.0,20.0,24.0,21.0,12.0,8.0,8.0,4.0,1.0,0.0,0.0,0.0,262.0,6.0,8.0,6.0,15.0,12.0,12.0,17.0,15.0,15.0,20.0,27.0,26.0,16.0,13.0,13.0,10.0,9.0,9.0,2.0,0.0,0.0,251.0,39147.1846867,513.0,374701.42799,3149672.49553,-16.279872248,28.4676249895
38.0,39.0,EL PERU,49,SALUD - LA SALLE,66.0,90.0,74.0,120.0,157.0,194.0,194.0,187.0,171.0,183.0,206.0,189.0,166.0,131.0,102.0,65.0,59.0,21.0,3.0,2.0,1.0,2381.0,55.0,99.0,87.0,115.0,152.0,180.0,234.0,183.0,167.0,219.0,261.0,258.0,199.0,180.0,127.0,79.0,78.0,50.0,17.0,4.0,0.0,2744.0,296718.413185,5125.0,375285.860706,3149471.37591,-16.2738819386,28.4658660529
39.0,40.0,VILLA BENITEZ,77,OFRA - COSTA SUR,10.0,29.0,23.0,24.0,22.0,36.0,38.0,31.0,42.0,43.0,45.0,32.0,35.0,42.0,26.0,19.0,18.0,5.0,2.0,0.0,0.0,522.0,10.0,21.0,17.0,21.0,23.0,30.0,44.0,35.0,38.0,44.0,30.0,41.0,38.0,41.0,41.0,22.0,15.0,12.0,4.0,1.0,1.0,529.0,223078.283027,1051.0,374620.908321,3149256.86114,-16.2806493116,28.4638664102
40.0,41.0,LOS GLADIOLOS,34,SALUD - LA SALLE,94.0,133.0,136.0,127.0,152.0,257.0,303.0,321.0,375.0,362.0,302.0,234.0,218.0,229.0,183.0,127.0,99.0,45.0,18.0,8.0,4.0,3727.0,73.0,114.0,126.0,123.0,143.0,195.0,283.0,261.0,273.0,253.0,252.0,248.0,283.0,297.0,273.0,212.0,186.0,106.0,40.0,9.0,10.0,3760.0,397502.788477,7487.0,375821.50257,3148851.03195,-16.2683449891,28.4603188981
41.0,42.0,SOMOSIERRA,62,OFRA - COSTA SUR,37.0,56.0,66.0,58.0,61.0,67.0,106.0,129.0,107.0,102.0,120.0,111.0,87.0,59.0,58.0,51.0,40.0,23.0,13.0,0.0,1.0,1352.0,35.0,64.0,53.0,49.0,88.0,82.0,102.0,97.0,89.0,109.0,118.0,106.0,85.0,101.0,85.0,83.0,94.0,75.0,24.0,4.0,2.0,1545.0,192297.82198,2897.0,375607.443284,3148501.94049,-16.2704932103,28.4571481271
42.0,43.0,CHIMISAY,23,OFRA - COSTA SUR,38.0,55.0,58.0,48.0,59.0,69.0,113.0,123.0,114.0,128.0,88.0,79.0,55.0,96.0,94.0,57.0,42.0,19.0,4.0,2.0,0.0,1341.0,44.0,52.0,54.0,54.0,71.0,80.0,84.0,127.0,122.0,108.0,96.0,110.0,122.0,135.0,134.0,90.0,65.0,21.0,11.0,3.0,1.0,1584.0,183879.581434,2925.0,374485.529488,3148484.1969,-16.2819477092,28.4568805366
43.0,44.0,LAS DELICIAS,29,OFRA - COSTA SUR,45.0,70.0,67.0,55.0,79.0,94.0,124.0,124.0,143.0,116.0,129.0,127.0,89.0,91.0,82.0,30.0,40.0,23.0,5.0,3.0,1.0,1537.0,37.0,65.0,62.0,59.0,66.0,73.0,129.0,120.0,113.0,100.0,122.0,128.0,102.0,109.0,113.0,86.0,59.0,30.0,16.0,4.0,1.0,1594.0,328581.819292,3131.0,374500.066664,3148002.35829,-16.2817467861,28.4525335925
44.0,45.0,TIO PINO,68,OFRA - COSTA SUR,11.0,24.0,27.0,28.0,35.0,36.0,34.0,40.0,49.0,39.0,77.0,54.0,23.0,18.0,18.0,22.0,25.0,13.0,2.0,0.0,0.0,575.0,13.0,22.0,19.0,24.0,26.0,30.0,25.0,38.0,39.0,55.0,57.0,37.0,34.0,22.0,36.0,50.0,44.0,19.0,5.0,1.0,2.0,598.0,87046.7026245,1173.0,375344.457185,3148819.48088,-16.27321304,28.4599886455
45.0,46.0,MIRAMAR,46,OFRA - COSTA SUR,20.0,29.0,29.0,35.0,27.0,37.0,57.0,65.0,61.0,76.0,71.0,62.0,34.0,51.0,36.0,34.0,34.0,10.0,0.0,1.0,1.0,770.0,15.0,27.0,28.0,35.0,30.0,38.0,43.0,60.0,45.0,55.0,63.0,46.0,63.0,60.0,62.0,56.0,59.0,22.0,8.0,1.0,1.0,817.0,78387.4245936,1587.0,374928.11672,3148234.80351,-16.2774011713,28.4546723988
46.0,47.0,CESAR CASARIEGO,19,OFRA - COSTA SUR,65.0,83.0,105.0,100.0,114.0,112.0,169.0,200.0,178.0,151.0,124.0,119.0,120.0,148.0,97.0,53.0,34.0,11.0,5.0,1.0,0.0,1989.0,64.0,71.0,92.0,75.0,86.0,129.0,158.0,166.0,150.0,159.0,150.0,158.0,208.0,169.0,114.0,73.0,52.0,17.0,9.0,1.0,1.0,2102.0,156617.816343,4091.0,374153.702929,3148578.35503,-16.2853463998,28.4576982862
47.0,48.0,JUAN XXIII,38,OFRA - COSTA SUR,14.0,23.0,29.0,32.0,41.0,42.0,38.0,46.0,61.0,48.0,54.0,45.0,23.0,21.0,25.0,26.0,25.0,7.0,1.0,2.0,0.0,603.0,16.0,23.0,26.0,27.0,25.0,31.0,34.0,40.0,39.0,41.0,48.0,44.0,24.0,20.0,55.0,42.0,39.0,10.0,6.0,3.0,0.0,593.0,33753.3453334,1196.0,374085.460262,3147672.58686,-16.2859443268,28.4495176527
48.0,49.0,LAS RETAMAS,50,OFRA - COSTA SUR,13.0,22.0,13.0,12.0,21.0,13.0,24.0,23.0,42.0,32.0,29.0,9.0,19.0,30.0,32.0,21.0,16.0,3.0,0.0,0.0,0.0,374.0,12.0,14.0,16.0,17.0,19.0,12.0,26.0,34.0,57.0,28.0,20.0,16.0,31.0,46.0,38.0,27.0,17.0,6.0,1.0,1.0,0.0,438.0,45311.111376,812.0,373957.765278,3147840.75584,-16.2872665703,28.4510229497
49.0,50.0,NUEVO OBRERO,48,OFRA - COSTA SUR,56.0,82.0,86.0,79.0,80.0,115.0,145.0,146.0,135.0,106.0,107.0,98.0,123.0,84.0,41.0,37.0,17.0,4.0,2.0,0.0,1.0,1544.0,53.0,77.0,76.0,83.0,97.0,99.0,113.0,160.0,118.0,110.0,131.0,144.0,138.0,81.0,56.0,34.0,27.0,21.0,1.0,4.0,1.0,1624.0,179910.220248,3168.0,373739.059646,3147709.33233,-16.2894853554,28.4498157939
50.0,51.0,CHAMBERI,20,OFRA - COSTA SUR,14.0,16.0,21.0,19.0,20.0,29.0,27.0,34.0,34.0,30.0,29.0,22.0,19.0,15.0,17.0,17.0,13.0,5.0,2.0,1.0,1.0,385.0,13.0,7.0,15.0,13.0,14.0,25.0,24.0,28.0,30.0,33.0,33.0,17.0,22.0,15.0,20.0,33.0,16.0,6.0,6.0,2.0,0.0,372.0,318773.286084,757.0,375213.563994,3147708.26501,-16.2744293386,28.4499480471
51.0,52.0,AÑAZA,7,SUROESTE,212.0,305.0,274.0,323.0,343.0,390.0,401.0,395.0,376.0,348.0,377.0,297.0,182.0,111.0,66.0,40.0,26.0,7.0,2.0,2.0,0.0,4477.0,229.0,262.0,285.0,302.0,333.0,396.0,384.0,392.0,409.0,498.0,460.0,341.0,198.0,143.0,93.0,65.0,46.0,22.0,6.0,1.0,0.0,4865.0,1290809.51459,9342.0,372817.065235,3144942.55168,-16.2985945874,28.4247577845
52.0,53.0,TINCER,67,SUROESTE,49.0,66.0,74.0,76.0,90.0,112.0,125.0,97.0,107.0,116.0,108.0,93.0,68.0,48.0,46.0,37.0,22.0,7.0,6.0,1.0,0.0,1348.0,42.0,59.0,54.0,67.0,83.0,106.0,125.0,114.0,97.0,126.0,109.0,104.0,77.0,50.0,62.0,44.0,49.0,19.0,6.0,2.0,2.0,1397.0,408114.140461,2745.0,372272.052077,3147097.41843,-16.3043967708,28.444150879
