FID,OBJECTID,BARRIO,COD_BARRIO,DISTRITO,H0A4,H5A9,H10A14,H15A19,H20A24,H25A29,H30A34,H35A39,H40A44,H45A49,H50A54,H55A59,H60A64,H65A69,H70A74,H75A79,H80A84,H85A89,H90A94,H95A99,HMAS100,HOMBRES,M0A4,M5A9,M10A14,M15A19,M20A24,M25A29,M30A34,M35A39,M40A44,M45A49,M50A54,M55A59,M60A64,M65A69,M70A74,M75A79,M80A84,M85A89,M90A94,M95A99,MMAS100,MUJERES,AREA,TOTAL,UTM_X,UTM_Y,GRAD_X,GRAD_Y
64.0,65.0,LAS ACACIAS,1,CENTRO - IFARA,7.0,10.0,11.0,20.0,16.0,22.0,19.0,19.0,17.0,18.0,26.0,25.0,30.0,21.0,10.0,8.0,4.0,5.0,1.0,0.0,1.0,290.0,8.0,10.0,14.0,23.0,27.0,29.0,20.0,23.0,21.0,22.0,39.0,33.0,24.0,25.0,5.0,11.0,9.0,4.0,3.0,1.0,0.0,351.0,115146.433906,641.0,376102.041163,3150273.86055,-16.2656331214,28.4731858502
65.0,66.0,LAS MIMOSAS,45,CENTRO - IFARA,61.0,100.0,72.0,65.0,54.0,56.0,79.0,90.0,125.0,118.0,102.0,62.0,95.0,68.0,81.0,57.0,44.0,26.0,6.0,3.0,1.0,1365.0,54.0,96.0,62.0,67.0,63.0,81.0,80.0,105.0,148.0,107.0,105.0,84.0,102.0,107.0,101.0,71.0,50.0,31.0,13.0,7.0,7.0,1541.0,545086.178776,2906.0,376777.269381,3150374.93566,-16.2587477589,28.4741620022
66.0,67.0,TRISTAN,70,OFRA - COSTA SUR,12.0,19.0,22.0,27.0,15.0,43.0,47.0,33.0,30.0,26.0,36.0,41.0,51.0,47.0,27.0,15.0,4.0,3.0,1.0,0.0,0.0,499.0,12.0,13.0,26.0,32.0,38.0,38.0,54.0,31.0,50.0,27.0,41.0,55.0,70.0,43.0,26.0,16.0,7.0,7.0,1.0,0.0,1.0,588.0,207830.977443,1087.0,375043.690167,3148598.75396,-16.2762604571,28.4579679316
67.0,68.0,CAMINO DEL HIERRO,16,OFRA - COSTA SUR,23.0,23.0,24.0,30.0,33.0,33.0,45.0,45.0,39.0,53.0,47.0,33.0,32.0,34.0,27.0,14.0,8.0,6.0,1.0,0.0,1.0,551.0,19.0,33.0,26.0,34.0,30.0,30.0,47.0,55.0,47.0,49.0,40.0,56.0,36.0,37.0,24.0,19.0,20.0,11.0,4.0,1.0,0.0,618.0,75493.5069188,1169.0,374714.979059,3148551.75077,-16.2796119889,28.4575122213
68.0,69.0,GARCIA ESCAMEZ,33,OFRA - COSTA SUR,36.0,52.0,53.0,60.0,65.0,80.0,109.0,106.0,120.0,104.0,96.0,100.0,77.0,63.0,59.0,33.0,44.0,26.0,10.0,1.0,4.0,1298.0,47.0,48.0,55.0,51.0,51.0,81.0,101.0,90.0,105.0,93.0,101.0,99.0,84.0,100.0,85.0,81.0,93.0,51.0,34.0,6.0,2.0,1458.0,217115.66199,2756.0,375223.729652,3148194.919,-16.2743782422,28.454340784
69.0,70.0,LAS CABRITAS,15,OFRA - COSTA SUR,4.0,7.0,11.0,11.0,11.0,6.0,11.0,18.0,17.0,19.0,24.0,11.0,8.0,12.0,8.0,8.0,12.0,2.0,1.0,0.0,0.0,201.0,10.0,7.0,6.0,10.0,13.0,14.0,19.0,22.0,16.0,22.0,19.0,10.0,11.0,11.0,11.0,13.0,9.0,4.0,2.0,1.0,0.0,230.0,93231.3095928,431.0,374526.557003,3147714.77525,-16.281444993,28.4499408736
70.0,71.0,SAN PIO X,57,OFRA - COSTA SUR,20.0,15.0,19.0,19.0,27.0,47.0,37.0,34.0,37.0,44.0,40.0,40.0,39.0,18.0,14.0,8.0,6.0,2.0,2.0,0.0,1.0,469.0,10.0,18.0,16.0,25.0,31.0,33.0,44.0,23.0,23.0,40.0,42.0,49.0,29.0,20.0,16.0,14.0,23.0,11.0,7.0,2.0,1.0,477.0,136826.30335,946.0,374097.394921,3147526.11872,-16.2858064423,28.4481970105
71.0,72.0,SAN ANTONIO,56,OFRA - COSTA SUR,24.0,43.0,63.0,53.0,62.0,47.0,64.0,72.0,74.0,70.0,90.0,59.0,50.0,23.0,22.0,24.0,15.0,1.0,2.0,0.0,1.0,859.0,32.0,33.0,66.0,53.0,61.0,48.0,57.0,78.0,81.0,84.0,62.0,63.0,45.0,35.0,16.0,33.0,37.0,20.0,3.0,1.0,0.0,908.0,65610.2988201,1767.0,373826.942043,3148038.91608,-16.2886240827,28.4527985756
72.0,73.0,FINCA LA MULTA,31,OFRA - COSTA SUR,5.0,13.0,19.0,24.0,28.0,28.0,33.0,29.0,22.0,30.0,35.0,25.0,22.0,15.0,8.0,6.0,9.0,2.0,1.0,0.0,0.0,354.0,20.0,14.0,11.0,16.0,24.0,25.0,33.0,24.0,21.0,31.0,35.0,20.0,17.0,17.0,12.0,11.0,13.0,8.0,4.0,0.0,0.0,356.0,72692.1680095,710.0,373720.546097,3148334.54215,-16.2897428645,28.4554561437
73.0,74.0,SANTA CLARA,59,OFRA - COSTA SUR,73.0,87.0,87.0,90.0,102.0,119.0,135.0,167.0,151.0,140.0,157.0,126.0,96.0,89.0,74.0,59.0,38.0,23.0,6.0,2.0,1.0,1822.0,67.0,79.0,79.0,96.0,116.0,103.0,153.0,134.0,147.0,145.0,163.0,147.0,127.0,123.0,90.0,76.0,74.0,41.0,17.0,4.0,2.0,1983.0,285765.703484,3805.0,373925.264012,3148482.6371,-16.287668656,28.4568124568
74.0,75.0,VISTABELLA,78,OFRA - COSTA SUR,20.0,44.0,30.0,33.0,38.0,39.0,61.0,73.0,62.0,73.0,77.0,32.0,34.0,45.0,47.0,20.0,25.0,8.0,3.0,3.0,0.0,767.0,36.0,43.0,33.0,38.0,39.0,44.0,49.0,74.0,80.0,77.0,50.0,46.0,55.0,50.0,42.0,37.0,29.0,17.0,5.0,0.0,0.0,844.0,174911.148915,1611.0,374254.257989,3149052.70889,-16.2843713181,28.4619887319
75.0,76.0,CUATRO TORRES,26,SALUD - LA SALLE,64.0,70.0,70.0,67.0,80.0,91.0,112.0,153.0,143.0,130.0,139.0,88.0,59.0,74.0,73.0,61.0,47.0,20.0,8.0,3.0,2.0,1554.0,66.0,60.0,60.0,72.0,63.0,93.0,114.0,145.0,135.0,138.0,130.0,114.0,85.0,96.0,98.0,74.0,74.0,56.0,19.0,2.0,0.0,1694.0,174980.770644,3248.0,377320.125245,3148982.83519,-16.2530552331,28.4616501823
76.0,77.0,EL CABO,14,SALUD - LA SALLE,16.0,20.0,24.0,16.0,16.0,17.0,19.0,21.0,32.0,33.0,26.0,23.0,21.0,23.0,15.0,7.0,2.0,3.0,0.0,1.0,0.0,335.0,10.0,18.0,20.0,19.0,18.0,11.0,29.0,32.0,36.0,32.0,31.0,25.0,28.0,14.0,13.0,12.0,4.0,3.0,4.0,0.0,0.0,359.0,143027.135612,694.0,377699.253189,3149090.29885,-16.2491949831,28.4626556007
77.0,78.0,LOS HOTELES,35,CENTRO - IFARA,35.0,37.0,37.0,35.0,26.0,22.0,44.0,56.0,72.0,57.0,69.0,38.0,49.0,31.0,34.0,24.0,31.0,13.0,7.0,2.0,0.0,719.0,30.0,59.0,34.0,35.0,29.0,29.0,53.0,58.0,65.0,57.0,53.0,45.0,53.0,50.0,45.0,46.0,37.0,32.0,14.0,6.0,3.0,833.0,136301.868908,1552.0,377003.509543,3149927.00205,-16.2563893091,28.4701409993
78.0,79.0,ZONA RAMBLA,80,CENTRO - IFARA,54.0,62.0,59.0,60.0,65.0,80.0,93.0,107.0,128.0,111.0,95.0,89.0,68.0,68.0,57.0,41.0,27.0,20.0,7.0,3.0,1.0,1295.0,63.0,66.0,57.0,63.0,77.0,98.0,77.0,108.0,123.0,105.0,133.0,113.0,99.0,86.0,69.0,58.0,63.0,38.0,24.0,7.0,1.0,1528.0,77780.425202,2823.0,376764.474049,3149752.48828,-16.2588118672,28.4685435188
79.0,80.0,ZONA CENTRO,79,CENTRO - IFARA,147.0,185.0,151.0,190.0,182.0,229.0,326.0,393.0,344.0,364.0,316.0,296.0,229.0,196.0,162.0,132.0,118.0,67.0,21.0,8.0,2.0,4058.0,120.0,160.0,163.0,164.0,221.0,281.0,346.0,371.0,392.0,400.0,336.0,346.0,282.0,283.0,254.0,204.0,162.0,130.0,71.0,19.0,9.0,4714.0,767871.195785,8772.0,377705.159009,3149611.07781,-16.249189888,28.4673559347
